,idx_pair,idx_obj1,idx_obj2,sep,refcol_psf_md,n_refcol_psf,refcol_ap_md,n_refcol_ap,muclip,sigmaclip,nclip,magmax
0,0.0,141.0,907.0,7.0,0.24579152656262426,54.0,0.24109931756720648,54.0,0.24306745213301365,0.02190565153182852,54.0,16.32473499855753
1,1.0,654.0,669.0,10.0,0.2012480744244316,14.0,0.19829134557945505,14.0,0.19804200002239408,0.009111490152019886,14.0,15.166812293434807
2,2.0,111.0,262.0,16.0,0.3901042711464946,102.0,0.39626968733173307,102.0,0.3964755122739981,0.015656552286964057,102.0,15.853042793548587
3,3.0,813.0,950.0,16.0,0.5163372586591368,48.0,0.5194169458963618,48.0,0.5204901785253422,0.026407757512441017,48.0,16.395163896668173
4,4.0,64.0,262.0,18.0,0.3348233255009463,96.0,0.3403520312964732,96.0,0.3410793476376284,0.01411779780504978,96.0,15.777517924985546
5,5.0,118.0,131.0,22.0,0.10256657394889324,123.0,0.10301399373073927,123.0,0.10206441237222484,0.013986682524414465,123.0,15.70259511119488
6,6.0,824.0,948.0,22.0,0.40821634594531275,9.0,0.43105171643568063,9.0,0.42775512569825225,0.013439097788258593,9.0,15.811138717430474
7,7.0,217.0,272.0,25.0,0.18956924981342915,85.0,0.19211831617361597,85.0,0.1923976398745914,0.015160365829344337,85.0,15.58165697019165
8,8.0,610.0,813.0,25.0,0.4963337270907182,44.0,0.5037257712723395,44.0,0.5050020019434077,0.033008857984306104,44.0,16.554826074130894
9,9.0,538.0,550.0,26.0,0.34482960382591443,6.0,0.33127919442561815,6.0,0.3313835536608331,0.006147676169432036,6.0,14.921190699127887
10,10.0,618.0,621.0,29.0,0.11637883998298637,4.0,0.09553749532847355,4.0,0.10018224474332404,0.010796036689868635,4.0,15.239945978207153
11,11.0,150.0,257.0,30.0,0.8366839082597171,108.0,0.849079665137447,108.0,0.849099964763936,0.011582123705291079,108.0,15.200920365816659
12,12.0,180.0,385.0,30.0,0.16080476055181947,22.0,0.15670586285186427,22.0,0.15404325932115562,0.019604799202390628,22.0,16.313786821048758
13,13.0,101.0,118.0,30.0,0.664831352189994,98.0,0.6780363737508948,98.0,0.6761688014757533,0.01736453083973754,98.0,15.702177296497965
14,14.0,64.0,111.0,31.0,0.05635150701661917,154.0,0.05415414352455894,154.0,0.05306194801523745,0.022578779451381963,154.0,15.852507255624865
15,15.0,175.0,308.0,32.0,0.1484859093786728,45.0,0.15254015729202663,45.0,0.15208635629437792,0.01945349222174767,45.0,15.561364530154
16,16.0,369.0,523.0,33.0,0.30817654410995665,16.0,0.31167003189497144,16.0,0.3093971455904674,0.007314397570077707,16.0,15.294570702149542
17,17.0,715.0,948.0,34.0,0.3578145189852515,4.0,0.3569083837356297,4.0,0.34672251559729395,0.029850012030809534,4.0,16.386207208643967
18,18.0,272.0,478.0,35.0,0.12276508669891673,70.0,0.13967513561381129,70.0,0.13889315820894277,0.010464650436193984,70.0,15.113399149985291
19,19.0,610.0,715.0,36.0,0.5448772641930368,5.0,0.5938102094555582,5.0,0.6005216078856354,0.02703727031838339,5.0,16.540566014276767
20,20.0,433.0,440.0,37.0,0.21439191061330654,13.0,0.19805360943028738,13.0,0.19562117460709197,0.01156852518969555,13.0,15.206857077308229
21,21.0,175.0,180.0,38.0,0.7461602183207923,19.0,0.766950219357291,19.0,0.7645502023145606,0.017438968017490765,19.0,15.560879482820775
22,22.0,715.0,813.0,38.0,0.07730875735483256,6.0,0.08368917259311548,6.0,0.08234174624530066,0.019501029147053033,6.0,16.404401245119036
23,23.0,97.0,385.0,38.0,0.05915517143514215,87.0,0.06296696358417009,87.0,0.06602670224400287,0.024781302026573283,87.0,16.444962852721904
24,24.0,715.0,950.0,39.0,0.5713354642512227,4.0,0.5832474239698122,4.0,0.5843214775562124,0.014022487516765306,4.0,16.387465946525523
25,25.0,610.0,950.0,40.0,0.02032437596403458,34.0,0.023856929890953893,34.0,0.025679990096142975,0.01699506508411951,34.0,16.555733581569637
26,26.0,262.0,721.0,41.0,0.3867364839109335,11.0,0.38898000152551404,11.0,0.38598170275949734,0.010011200930348707,11.0,15.660391540175848
27,27.0,440.0,983.0,41.0,0.9935932338808744,12.0,1.0140712752990275,12.0,1.0120844240241744,0.019621533417151473,12.0,16.187459004078136
28,28.0,526.0,545.0,41.0,0.013503208831243008,22.0,0.02071682195916935,22.0,0.021201528435102045,0.010568667591625423,22.0,15.435506078997154
29,29.0,414.0,715.0,42.0,0.18503696847878714,9.0,0.17539974948090098,9.0,0.176623827703026,0.020648756479740262,9.0,16.381706915847126
30,30.0,97.0,180.0,42.0,0.10114862401413571,30.0,0.09003946001697649,30.0,0.09229179401290359,0.0213999118926068,30.0,16.443713963736023
31,31.0,244.0,596.0,42.0,0.3113174616591641,40.0,0.31106954298707734,40.0,0.3123936930652536,0.025860324612624778,40.0,16.269005150475884
32,32.0,414.0,948.0,45.0,0.5561743658440417,11.0,0.5512664353814358,11.0,0.5533642667420431,0.012871432326590862,11.0,15.76454784680504
33,33.0,204.0,470.0,45.0,0.30232847297942733,15.0,0.31051509357971874,15.0,0.31095515115668054,0.02202446861891848,15.0,15.700440866923016
34,34.0,648.0,909.0,45.0,0.4896221101633369,21.0,0.49791921866148314,21.0,0.4966597386750469,0.010919045604709996,21.0,15.365650298728204
35,35.0,101.0,131.0,48.0,0.7688660074774756,88.0,0.7788790823874496,88.0,0.7782464737961167,0.008990116067800454,88.0,14.700626229883387
36,36.0,123.0,653.0,48.0,0.9826849757296836,38.0,0.9976861197925251,38.0,0.997678752585793,0.011706638115066385,38.0,15.4144923640733
37,37.0,204.0,369.0,48.0,0.00938960923761023,34.0,0.011618229498806087,34.0,0.0129026249900271,0.009770939642342035,34.0,15.702915057283622
38,38.0,346.0,392.0,48.0,0.07986571134114584,29.0,0.08203981054059994,29.0,0.08298115925667927,0.007053997996777836,29.0,14.34959510863198
39,39.0,440.0,657.0,49.0,0.14780187013435064,10.0,0.13230659466279704,10.0,0.13734580203790275,0.010211857588994832,10.0,15.222623704775746
