,idx_pair,idx_obj1,idx_obj2,sep,refcol_psf_md,n_refcol_psf,refcol_ap_md,n_refcol_ap,muclip,sigmaclip,nclip,magmax
0,0.0,141.0,907.0,7.0,0.0899044643884448,39.0,0.09530062490325797,39.0,0.09507766284128188,0.026872346050076674,39.0,14.677653657997958
1,1.0,654.0,669.0,10.0,0.15738287232072246,25.0,0.15793093886877685,25.0,0.15917728706788878,0.021111107964625717,25.0,14.137260881540074
2,2.0,111.0,262.0,16.0,0.09406421543978727,34.0,0.09744171581383387,34.0,0.10002263985983507,0.026601366259254383,34.0,14.934727358212378
3,3.0,813.0,950.0,16.0,0.13436729311726303,27.0,0.13963638706643167,27.0,0.14084836188061733,0.03440444517804181,27.0,14.9073336035658
4,4.0,64.0,262.0,18.0,0.07324175244730124,10.0,0.09307562918772927,10.0,0.09934806452232436,0.03633251151478329,10.0,14.993679192857389
5,5.0,118.0,131.0,22.0,0.1292323397177917,28.0,0.13238100411336884,28.0,0.1305856166264574,0.030535169111638005,28.0,15.002123755061522
6,6.0,824.0,948.0,22.0,0.09053587093080395,9.0,0.10017582614053033,9.0,0.1001116973517748,0.009445485881984777,9.0,13.1062194003474
7,7.0,217.0,272.0,25.0,0.03751768167911784,78.0,0.03464614770821228,78.0,0.03594095899426767,0.020896812629824353,78.0,14.589221888444307
8,8.0,610.0,813.0,25.0,0.13579013564775444,36.0,0.14118472981175412,36.0,0.1362066071411383,0.025050272256120876,36.0,14.906497847384955
9,9.0,538.0,550.0,26.0,0.025274512342051914,8.0,0.028097346784912602,8.0,0.03905194049573746,0.02636302689777383,8.0,14.333892235454066
10,10.0,618.0,621.0,29.0,0.07467937164738814,1.0,0.058850326595161206,1.0,0.058850326595161206,0.0,1.0,14.8240945358591
11,11.0,150.0,257.0,30.0,0.10886605335029031,74.0,0.1110212618439661,74.0,0.10881380046805582,0.01761204311600606,74.0,14.149657875460523
12,12.0,180.0,385.0,30.0,0.022868450316107847,4.0,0.01580209866204374,4.0,0.0178782643428117,0.009579621848357516,4.0,14.053273623065675
13,13.0,101.0,118.0,30.0,0.09126853343521812,10.0,0.07207431920244378,10.0,0.07413394697750597,0.02079384462075037,10.0,14.991550560984436
14,14.0,64.0,111.0,31.0,0.020122261153615817,14.0,0.03592266536106159,14.0,0.03931215519452559,0.01973434616443695,14.0,14.994454259126329
